"index","migration","journal_timestamp","snapshot_chain_valid","replay","added","removed","column_definition_changes","data_statements","explicit_transaction_control","concurrent_index_operation","file"
"0","0000_auth","1786264125825","true","PASS","table:accounts; accounts.id; accounts.user_id; accounts.account_id; accounts.provider_id; accounts.password; accounts.access_token; accounts.refresh_token; accounts.access_token_expires_at; accounts.refresh_token_expires_at; accounts.scope; accounts.id_token; accounts.created_at; accounts.updated_at; table:sessions; sessions.id; sessions.user_id; sessions.token; sessions.expires_at; sessions.ip_address; sessions.user_agent; sessions.impersonated_by; sessions.created_at; sessions.updated_at; table:sso_providers; sso_providers.id; sso_providers.provider_id; sso_providers.issuer; sso_providers.domain; sso_providers.oidc_config; sso_providers.saml_config; sso_providers.organization_id; sso_providers.domain_verified; sso_providers.user_id; sso_providers.created_at; sso_providers.updated_at; table:two_factors; two_factors.id; two_factors.secret; two_factors.backup_codes; two_factors.user_id; two_factors.verified; two_factors.failed_verification_count; two_factors.locked_until; two_factors.created_at; two_factors.updated_at; table:users; users.id; users.email; users.display_name; users.role; users.email_verified; users.image; users.two_factor_enabled; users.banned; users.ban_reason; users.ban_expires; users.created_at; users.updated_at; users.archived_at; table:verifications; verifications.id; verifications.identifier; verifications.value; verifications.expires_at; verifications.created_at; verifications.updated_at; table:org_settings; org_settings.id; org_settings.auth_mode; org_settings.magic_link_enabled; org_settings.allowed_email_domains; org_settings.created_at; org_settings.updated_at","","","true","false","false","packages/db/migrations/0000_auth.sql"
"1","0001_onboarding","1786296856518","true","PASS","org_settings.onboarding_completed_at","","","false","false","false","packages/db/migrations/0001_onboarding.sql"
"2","0002_theme","1786308506881","true","PASS","users.theme","","","false","false","false","packages/db/migrations/0002_theme.sql"
"3","0003_smtp","1786394362045","true","PASS","org_settings.smtp_url; org_settings.smtp_from","","","false","false","false","packages/db/migrations/0003_smtp.sql"
"4","0004_activity_log","1786397299991","true","PASS","table:activity_log; activity_log.id; activity_log.entity_type; activity_log.entity_id; activity_log.actor_id; activity_log.action; activity_log.visibility; activity_log.payload; activity_log.created_at","","","false","false","false","packages/db/migrations/0004_activity_log.sql"
"5","0005_org_general","1786397314294","true","PASS","org_settings.name; org_settings.logo; org_settings.default_locale; org_settings.default_timezone","","","false","false","false","packages/db/migrations/0005_org_general.sql"
"6","0006_last_active","1786422732354","true","PASS","users.last_active_at","","","true","false","false","packages/db/migrations/0006_last_active.sql"
"7","0007_timezone","1786433704100","true","PASS","users.timezone","","","false","false","false","packages/db/migrations/0007_timezone.sql"
"8","0008_contract_types","1786470787772","true","PASS","table:contract_types; contract_types.id; contract_types.slug; contract_types.display_name; contract_types.display_order; contract_types.is_system_default; contract_types.archived_at; contract_types.created_at; contract_types.updated_at","","","true","false","false","packages/db/migrations/0008_contract_types.sql"
"9","0009_contract_statuses","1786477894274","true","PASS","table:contract_statuses; contract_statuses.id; contract_statuses.slug; contract_statuses.display_name; contract_statuses.stage; contract_statuses.display_order; contract_statuses.is_system_default; contract_statuses.archived_at; contract_statuses.created_at; contract_statuses.updated_at","","","true","false","false","packages/db/migrations/0009_contract_statuses.sql"
